Genre,Game,Year,Revenue,Review,Team size,Art style,Feature,Scope,Content,Replayability,Tier
Roguelike Deckbuilder,Balatro,2024,$100M+ gross,"190,000+",Solo (LocalThunk),Minimalist poker card aesthetic; dark felt background; neon highlights,Poker hand scoring + 150+ joker modifiers; 15 deck types; ante escalation; no combat,1–2hr per run; 15 decks; 150+ jokers; Endless mode; 9 stakes,Massive joker-synergy space; daily challenges; seeds; 'Still discovering combos after 200hrs',Extremely high — joker variance; viral shareability; 'my go-to gaming comfort food',HIGH
Roguelike Deckbuilder,Inscryption,2021,$35M net,"143,746",Solo (Daniel Mullins),Dark folk horror; hand-crafted 3D cabin aesthetic; warped lo-fi card art,Deckbuilding + escape-room + meta-narrative horror; 3 distinct acts; Leshy/Grimora/Magnificus,8–12hr campaign; 3 acts; Kaycee's Mod adds infinite roguelike runs,Rich layered ARG; secret hidden content; 'Most unique game I've ever experienced',Moderate for story; Very high with Kaycee's Mod,HIGH
Roguelike Deckbuilder,Slay the Spire,2019,$50M+,"75,000+",Duo (MegaCrit),Hand-painted card art; dark dungeon watercolor palette; moody but readable,Deckbuilding + relic system + branching map; 4 characters; 500+ cards; ascension,5–10hr per run; 4 characters; 20+ bosses; EA 2017 → full 2019,4 characters; daily challenges; custom mode; 'genre-defining game',Very high — enormous build variety; daily seeds; community mods,HIGH
Roguelike Deckbuilder,Monster Train,2020,$10M+ est.,"12,212",Team ~15 (Shiny Shoe),Detailed 2D illustration; vibrant hellfire palette; distinct faction aesthetics,Deckbuilding + vertical positional defense (3 floors) + 5 clans + 1500+ cards; 25 covenants,4–8hr per run; 5 clans; covenant progression; expansion added 2 more clans,Enormous clan-combo space; active mods; 'Deeper than StS in some ways',Very high — clan synergies; mods; 'Playing for 3 years still finding combos',HIGH
Roguelike Deckbuilder,Shogun Showdown,2024,$3M+ est.,"6,746",Solo (Roboatino),Minimalist pixel art; Japanese ink-wash aesthetic; muted earth + red palette,Tile-based movement + weapon slot deckbuilding + 40+ weapons; 5+ characters,3–6hr per run; 5+ characters; multiple biomes; EA 2022 → full 2024,Tight mechanical depth; diverse weapon builds; 'Best solo roguelike this year',High — character unlocks; build variety; daily runs; '100+ hours not bored',HIGH
Roguelike Deckbuilder,Wildfrost,2023,$5.6M gross,"5,276",Team ~4 (Deadpan Games),Cute pixel art; pastel winter palette; animated companion cards; charming,Countdown timer + companion system + deckbuilding; 200+ cards; 3 tribal clans; village meta,4–8hr per run; 3 biomes; 3 clans; 20+ companions; village upgrade meta-layer,Rich seasonal card variety; good tutorial; Switch simultaneous launch; 'Scratches the itch perfectly',High — companion build variety; village meta-progression,HIGH
Roguelike Deckbuilder,Luck Be a Landlord,2023,$2M+ est.,"5,299",Solo (TrampolineTales),Retro slot machine pixel aesthetic; bold icon art; casino typography; lo-fi charm,Slot-machine roguelike; 200+ symbols; rent escalation pressure; symbol synergy stacking,1–3hr per run; floor rent progression; daily seeds; frequent content updates,Wide symbol variety; 'incredibly addictive one-more-spin loop'; dev updates built community,Very high — economy metagame varies; '400 hours and still discovering',HIGH
Roguelike Deckbuilder,Cobalt Core,2023,$1.2M est.,"3,308",Team of 3 (Rocket Rat Games),Cute pixel art + sci-fi spaceship aesthetic; vibrant crew designs; clean board,Column-grid card combat + crew management + time-loop narrative; 7+ crew each with card types,4–8hr per run; 7+ crew; looping routes; narrative reveals per run,Tight looping narrative; 'Surprisingly heartfelt story for a deckbuilder',High — crew synergy variety; regular updates; 'Can't believe 3 people made this',MID
Roguelike Deckbuilder,Vault of the Void,2021,$860K est.,"2,958",Solo (Spider Nest Games),Clean dark-fantasy digital card aesthetic; detailed illustrations; no pixel art — painterly,Purification system (narrow deck focus); 400+ cards; 4 classes; minimal RNG; mastery-focused,6–10hr per run; 4 classes; 400+ cards; 3 difficulty tiers,Deep card synergy; 'The deckbuilder for fans who want depth not luck',High for hardcore; niche loyal playerbase; 'Mastery curve keeps me coming back',MID
Roguelike Deckbuilder,Alina of the Arena,2022,$970K est.,"1,027",Solo (dested),Dark watercolor gladiatorial aesthetic; gritty earth-and-crimson palette; hand-drawn card art,Hex-grid spatial deckbuilding; 150+ cards; positional gladiator combat; multiple archetypes,3–5hr per run; 4+ arenas; multiple builds; solo dev support post-launch,Spatial puzzle layer elevates genre; 'Criminally underrated gem' — Steam,Good — spatial variety; multiple archetypes; 'Replayed 30+ times',MID
