Genre,Game,Year,Revenue,Review,Team size,Trailer,UI,Art style,Feature,Scope,Content,Replayability
Auto-Battler,Backpack Battles,2024,~$9.4M gross,"~19,896",Solo dev (PlayWithFurcifer) + IndieArk publisher,90-sec trailer; inventory grid battles shown in first 5s; concept instantly legible; viral hook visible immediately,Inventory-grid layout; clean item slot icons; minimal clutter; mobile-adapted but polished for PC,"Flat 2D item art, pixel icons, minimal background, vibrant inventory aesthetic",Inventory auto-battler; async PvP; 200+ items with synergies; equipment slot management; no manual combat; 4+ hero archetypes,2?5hr session loops; 200+ items; 4+ hero classes; 7 months EA before v1.0,Multiple heroes; seasonal item drops; community-theorycrafted builds. 'Best auto-battler since TFT' ? Steam. High patch cadence post-launch.,"Very high ? unique item combos each run, async PvP ranked ladder, community meta evolves weekly"
Auto-Battler,Mechabellum,2024,~$5M+ est.,"~15,078","Game River (~10?15 people, China)",High-quality CGI + gameplay mix; mech army combat shows PvP hook immediately; 'chess but mechs' positioning clear,Clean battlefield grid; unit stat panels; economy indicators top bar; moderate learning curve but well-organised,3D stylised mech units; dark sci-fi industrial battlefield; particle-heavy combat FX,PvP mech auto-battler; 40+ unit types; unit tech tree; economy management; counter-picking meta; no micromanagement during battle,15?30 min match; multiple factions; ranked competitive seasons; 2yr EA before v1.0; regular unit additions,"40+ unit types, multiple maps, ranked seasons, weekly balance patches. 'Every match requires a new counter-strategy' ? Steam","Very high ? competitive ranked meta, counter-picking depth, new units each update cycle"
Auto-Battler,The Bazaar,2025,$4.3M gross,"~14,372 (71% pos.)",Tempo Labs (~15?25 people),High production value; hero + board inventory mechanic clear; vibrant galactic marketplace aesthetic established in first 10s,Board grid with item synergy indicators; some visual clutter in complex late-game builds,Stylised 2D card art; vibrant galactic marketplace; detailed hero portraits with distinct personality,Hero-based async PvP auto-battler; inventory board system; item synergies per hero; hero-specific board shapes,Multiple heroes with unique boards; daily runs; competitive ranked ladder; EA Oct 2024 ? full release Apr 2025,"Multiple hero archetypes; seasonal content. 'Best core loop, terrible pricing' ? Steam. Monetisation changed 3+ times in under a year.","High ? async PvP, hero variety, board randomisation; retention hurt by monetisation controversy and multiple rollbacks"
Auto-Battler,Warpips,2022,~$2.3M gross,"~5,079","Skirmish Mode Games (4 devs, Subnautica veterans, built as side project)",Short punchy trailer; tug-of-war battles legible immediately; retro military aesthetic in first frame; under 60s,Clean side-scrolling battlefield; economy bar top; unit cards minimal and readable; best-in-class clarity for genre,Retro low-poly 3D; military units; minimal colour palette; warm earthy tones,Tug-of-war auto-battler; unit draft economy; counter-picking; campaign + skirmish modes; zero micromanagement during battle,6?10hr campaign; 30+ unit types; multiple maps; challenge skirmish modes; 1yr EA,Campaign with scaling enemy faction; challenge modes; leaderboard. 'Relaxing yet deeply strategic' ? Steam. Made by 4 devs as a side project.,"Moderate-High ? unit draft variety per match, challenge escalation, short runs encourage reruns"
Auto-Battler,Gladiator Guild Manager,2024,~$1.5M est.,"~3,402",Entertainment Forge (~3?5 people),Shows gladiator management + arena combat loop; cartoony aesthetic; management layer differentiated from pure auto-battlers,Management-heavy interface; guild screen + gladiator stats + arena brackets; moderate complexity curve,Cartoony 2D; bright arena aesthetic; comic-style gladiator portraits; cel-shaded colourful,Gladiator management sim + auto-battler hybrid; recruit/train gladiators; faction quest system; arena bracket progression,20?30hr+ campaign; multiple arena tiers; 10+ gladiator classes with equipment; 3yr EA before v1.0,Multiple gladiator classes + equipment; faction city events; arena brackets. 'Deep management layer missing from most auto-battlers' ? Steam,Moderate ? campaign structure limits pure replay but strategic build variety is rewarding
Auto-Battler,Despot's Game: Dystopian Battle Simulator,2022,~$800K est.,"~3,186","Konfa Games (~3?6 people), published by tinyBuild",Absurdist humour prominent; tiny humans fighting shown immediately; roguelite dungeon structure telegraphed; dark comedy tone set,Top-down formation view; class icons clear; roguelite branching map overlay; simple and clean,Pixel art; dark dystopian humour; small human silhouettes with coloured class costumes,Roguelite auto-battler; 50+ unit class types; shop + upgrade loop; co-op 1?4 players; branching dungeon paths,2?4hr run; 3 dungeon biomes; co-op support; multiple difficulty levels; launched in EA before v1.0,3 dungeon biomes; class synergies; co-op challenge modes. 'Best auto-battler for playing with friends' ? Steam reviews,"High ? class combination variety, co-op replayability, roguelite randomness keeps runs fresh"
Auto-Battler,Hadean Tactics,2023,~$1.16M gross,"~1,703","Emberfish Games (solo/micro, 1?2 people)",Shows spirit army + warlock hero combat; deckbuilding + auto-battle hybrid immediately legible; dark fantasy tone consistent,Clean spell card hand + auto-battle battlefield; readable unit placement zones; minimal clutter for a hybrid system,Hand-drawn dark fantasy 2D; muted earth tones with accent colour splashes; gothic portrait card art,Roguelite PvE auto-battler + deckbuilding hybrid; spirit army management; 4 unlockable warlock heroes; boss gauntlets in Hell,3?5hr run; 4 heroes; 100+ cards; 10+ boss types; unlockable difficulties; 8 months EA,4 hero archetypes with unique decks; Hell-themed biomes; unlockable synergies. 'Perfect blend of deckbuilder and auto-battler' ? Steam,"Very high ? cross-run unlocks, hero variety, deep build synergies, daily challenge mode"
Auto-Battler,Tales & Tactics,2024,~$920K gross,"~2,120","Table 9 Studio (small team), Yogscast Games (publisher)",Shows squad-based auto-battler in tabletop RPG setting; party composition hook visible; friendly approachable presentation,Squad formation view; character class icons; campaign map overlay; accessible complexity,Stylised 2D; tabletop RPG fantasy; colourful character portraits; board-game visual language,Squad auto-battler + roguelite; 20+ hero classes; synergy bonuses; campaign chapter progression,3?6hr run; 20+ character classes; multiple campaign chapters; difficulty levels,Multiple character archetypes; dungeon encounters; item equipment. 'Better than expected for the price' ? Steam reviews,Moderate ? squad composition variety rewarding but campaign structure limits pure replay
Auto-Battler,The Last Flame,2025,~$980K est.,"~1,800 est.","Hotloop (solo developer, Canada)",Shows hero party vs escalating waves; item synergy system prominent; clean fantasy presentation; impressive for solo dev,Party auto-battle view; item grid; clear stat display; well-designed for a solo project,Stylised 2D fantasy; clean character silhouettes; colourful ability effects; readable at-a-glance,PvE roguelite auto-battler; 65+ heroes; 325 items; 150 relics; 60 origins; 5 difficulties; endless mode,3?6hr run; enormous content depth for solo dev; 12 months EA before full release Jan 2025,"65 heroes, 325 items, 60 origins ? exceptional content volume for one developer. 'This is how solo dev should be done' ? Steam community",Very high ? hero and item combination variety is extreme relative to team size; daily seeds
Auto-Battler,Your Chronicle,2021,F2P (low per-player),"~2,048",Samurai Box LLC (small team),Shows text-based idle auto-battle progression; minimal production; idle hook communicated,Text-heavy idle interface; minimal graphics; very functional; designed for background play,Text-based idle aesthetic; minimal 2D colour blocks; no distinct visual identity,Idle auto-battler; stat accumulation progression; F2P live-service; mobile cross-platform; seasonal updates,Infinite idle loop; ongoing content updates; mobile-first with PC client,Ongoing seasonal updates; idle progression depth consistent. 'Perfect for multi-tasking' ? Steam. F2P keeps barrier low.,High by idle standards ? loop never ends; but low session engagement vs premium games
