Genre,Game,Year,Revenue,Review,Team size,Trailer,UI,Art style,Feature,Scope,Content,Replayability
Roguelike,Hades,2020,~$85M+,"~303,000",~20 (Supergiant Games),"Cinematic opening, combat showcased in first 10s, Zagreus voiced, punchy editing, ~90s. Clear core loop from opening shot.","Clean isometric HUD, health/gold top-right, boon menu elegant, no clutter mid-combat.","Hand-painted 2D, vibrant Greek mythology aesthetic, high contrast, rich warm color palette","Action roguelite + narrative-per-run unlocking; boon system (6 gods, 40+ boons each); 6 weapons with aspects; Heat difficulty scaling; NPC gift system",6-10hr to first clear; 50+ runs to see all story; 6 weapons; EA Dec 2018 -> full Sept 2020,"6 weapons, 40+ enemy types, 12 boss variants, voiced NPC relationship arcs. 'Story keeps unfolding after 100 runs' -- Steam","Extremely high -- narrative grows each run, weapon aspects, Heat system, gift unlocks. 'Still finding new dialogue at 200hrs' -- r/HadesTheGame"
Roguelike,Vampire Survivors,2022,~$30M+,"~262,000",Solo (poncle / Luca Galante); small team post-launch,"15s auto-gameplay clip, no voiceover, weapon evolution shown visually, $3 price on screen. Sold concept in under 20s.","Minimal HUD, large visible XP gems, big readable pickup text, 6 weapon slots at screen edge. Intentionally lo-fi.","Pixel art, chunky sprites, dark gothic palette, exaggerated scale enemies",Auto-shooter + weapon evolution combos; 30+ weapons with 50+ evolutions; 30+ characters; 6+ stages; DLC packs; secret unlocks,30min per run; 30+ weapons; 30+ characters; 6 stages + DLC; EA Oct 2021 -> full release,"30 characters, 30 weapons, evolution combos, hidden achievements, DLC stages. 'Still finding secrets after 200hrs' -- Steam","Very high -- character variety, build synergy, hidden unlocks, achievement hunting, DLC. 'Go-to comfort game, always one more run' -- Steam"
Roguelike,Balatro,2024,~$100M+,"~191,000",Solo (LocalThunk),Hypnotic loop: poker hand -> joker combo -> score explosion; no voiceover; synth music; 90s; compulsive pacing. Instantly conveys fantasy.,"Clean poker table aesthetic, neon accents on dark background, joker grid always visible, score multiplier prominent","Stylized poker card aesthetic, neon dark palette, bold numerics, casino visual language",Poker hand scoring + 150 joker combos + consumables + 8 blinds; 8 decks; tarot/planet/spectral cards; 8 difficulty stakes; daily challenge,3-6hr per run to beat base game; 150+ jokers; 8 decks; 8 stakes; launched Feb 2024 full release,"150 jokers, 8 decks, 8 stakes, planet/tarot cards, challenges, daily mode. 'Every run feels fundamentally different' -- Steam",Extremely high -- joker combinations near-infinite; daily challenges; unlockable build paths. 'Most addictive game in years' -- r/balatro
Roguelike,Hades II,2025,~$50M+,"~119,000",~25 (Supergiant Games),Cinematic intro with Melinoe vs Chronos framing; combat showcase at 20s; strong music; story-forward; ~2min. Fans of original immediately engaged.,Similar to Hades 1 but cleaner; improved resource tracking sidebar; elemental indicators added; moon resource meter new,"Hand-painted 2D, darker/more muted than Hades 1, moon goddess aesthetic, Underworld depth and layering",New protagonist Melinoe; moonstone/arcana card progression; 6 weapons; fishing; herb crafting; 30+ gods with boons; deeper build synergy than Hades 1,8-15hr to first clear; 6 weapons; deeper crafting; EA May 2024 -> full release Sept 2025,"6 weapons, extensive NPC stories, 30+ gods, boss roster deeper than Hades 1. 'Even better than the original' -- Steam","Very high -- builds more complex, narrative evolves per run, multiple weapon forms. 'I thought nothing could top Hades 1, I was wrong' -- r/HadesTheGame"
Roguelike,Brotato,2023,~$10M+,"~106,000","~2 (Blobfish, French studio)",45s fast-cut gameplay montage; upbeat electronic music; potato character visible immediately; weapon icons shown clearly. Pacing matches gameplay loop.,Minimal in-run HUD; 6 weapon slots at screen edge; item pickup pop-ups clean; shop UI grid-based and scannable,"Pixel art, cartoonish, bright primary colors, chunky potato character designs",6-weapon loadout + item/stat synergies; 46 characters with unique starting stats/weapons; 5 difficulty waves per run; 60+ weapons; endless escalation,10-30min per run; 46 characters; 60+ weapons; 5 difficulty modes; EA Aug 2022 -> full release,"46 characters, 60+ weapons, hundreds of items, multiple difficulties. 'Every character is a completely different game' -- Steam","High -- character variety, build synergy, challenge modes, item unlocks. 'Fast enough that one more run is always possible' -- r/SurvivorsLike"
Roguelike,Halls of Torment,2023,~$1.5M,"~31,300","~3-4 (Chasing Carrots, German studio)","Shows progression board, fast combat clips, Diablo-esque atmosphere; 60s; dark music. Nostalgic hook for ARPG fans lands immediately.",Clean ARPG style; ability slots bottom-center; retro stat panel; Diablo 1-inspired interface,"Low-poly/pixel hybrid, dark dungeon atmosphere, Diablo 1 retro aesthetic, intentional lo-fi",Vampire survivor-like + Diablo-esque character classes + persistent skill board; 8 characters; ability upgrade tree; daily challenges,20-30min per run; 8 characters; 5 stages; persistent upgrade board; EA June 2023 -> full release,"8 characters, 5 stages, persistent upgrade system, daily challenges, item drops. 'Scratches my Diablo itch perfectly' -- Steam","High -- character variety, daily challenges, persistent progress, build optimization. 'My daily driver since launch' -- r/roguelikes"
Roguelike,Nubby's Number Factory,2025,~$2M+,"~15,900",~3-4 (Everybody House Games),"Charming 30s clip, number manipulation gameplay shown in first 5s, quirky bouncy music, colorful factory aesthetic. Clear concept, surprising depth signal.","Clean number grid, readable numeric displays, factory upgrade panel well-organized","Colorful cartoonish, factory/industrial aesthetic, playful numbered character designs",Arithmetic/number puzzle mechanics + roguelike run structure; factory-building phase + run phase; unique chain number manipulation system,2-4hr per run; multiple factory modes; upgrade paths; launched 2025 full release,"Multiple factory stages, upgrade trees, combinatorial number systems. 'Surprisingly deep for a number game' -- Steam","Moderate-high -- build variety around number combos, different factory configurations. 'Every run plays differently' -- Steam"
Roguelike,Rift Wizard 2,2023,~$400K,~728,Solo (Grifflan / Tom Hermans),"Text-focused, spellcasting grid shown, minimalist presentation. Functional rather than flashy -- niche appeal clearly signaled.",Dense ASCII-inspired pixel UI; spell selection fills screen; designed for keyboard-only play; info-dense,"Pixel art, dark fantasy palette, minimal animation, traditional roguelike aesthetics",Turn-based grid spells + modifiers + branching runs; 200+ spells; permadeath; wizard build synergies; realm-jumping mechanic,1-2hr per run; 200+ spells; procedural levels; short but dense decision-making per floor,"200+ spells, enemy variety, permadeath pressure. 'Deepest spell-synergy system in any roguelike' -- r/roguelikes","High for core audience -- enormous spell variety, daily seeds. 'Still finding combos after 50 runs' -- Steam. Niche appeal caps reach."
Roguelike,Go Mecha Ball,2024,~$413K,~367,~3-4 (VILE MONARCH),Pinball-meets-shooter momentum gameplay shown clearly; neon aesthetic; dynamic movement showcased; ~60s. Concept is unique and visible.,Clean arcade-style HUD; damage numbers visible; upgrade menu readable; health bar integrated into arena,"Neon/cyberpunk 2D, cartoon with strong particle effects, vibrant color contrast",Pinball physics momentum + twin-stick shooting + roguelike upgrades; 4 mechs; ball-form movement; upgrade combos,1-2hr per run; 4 mechs; multiple zones; upgrade paths and passive combos,"4 mechs, upgrade paths, boss fights. 'Criminally underrated momentum system' -- Vice. Content thinner than top-tier.","Moderate -- mech variety and upgrade paths, but shorter content set limits long-term play. 'Fun in short bursts' -- Steam"
Roguelike,Mortal Glory 2,2024,~$152K,~289,Solo (Windy Games),Text-heavy tactical overview; gladiator arena shown; retro pixel aesthetic; functional presentation. Communicates niche appeal accurately.,Clean grid-based tactical display; unit stat bars clear; action menu simple and legible,"Pixel art, Roman/fantasy arena aesthetic, limited animation, functional design choices",Tactical turn-based gladiator combat + roster management + roguelike run structure; permadeath; 50+ gladiator types; build specialization,20-40min per run; 50+ gladiators; multiple arenas; permadeath roster; solo dev content volume,"Multiple arenas, gladiator types, abilities. 'Excellent for tactical fans -- no bloat, just combat' -- r/roguelikes",Moderate-high -- roster variety and tactical challenge. 'Underappreciated gem' -- Steam. Solo dev limits total content volume.
